rri_chain,pdb_chain,SPOT-RNA,RNAfold,SPOT-RNAc,RNAcoFold,RNAmultifold,PairFold,MXfold2c,Ufoldc,SPOT-RNA2c,PETcoFold,SPOT-RNA2,EternaFoldc
7D4I_3A5A,7D4I_3A,0.574,0.516,0.614,0.516,0.516,0.547,0.564,0.383,0.65,0.294,0.667,0.532
7D4I_3A5A,7D4I_5A,0.571,0.754,0.712,0.73,0.73,0.341,0.423,0.687,0.688,0,0.405,0.774
7D5S_3A5A,7D5S_3A,0.459,0.33,0.444,0.421,0.421,0.265,0.432,0.3,0.395,0,0.472,0.421
7D5S_3A5A,7D5S_5A,0.681,0.709,0.692,0.735,0.735,0.667,0.716,0.729,0.78,0.092,0.748,0.761
7D5T_3A5A,7D5T_3A,0.412,0.072,0.424,0.072,0.072,0.072,0.463,0.302,0.357,0,0.5,0.409
7D5T_3A5A,7D5T_5A,0.32,0,0.762,0,0,0,0,0.571,0.667,0.762,0,0.727
7D63_3A5A,7D63_3A,0.426,0.326,0.444,0.337,0.337,0.22,0.343,0.33,0.405,0,0.423,0.373
7D63_3A5A,7D63_5A,0.622,0.577,0.622,0.552,0.552,0.36,0.44,0.615,0.655,0,0.55,0.6
7MQ8_L0L2,7MQ8_L0,0.326,0.297,0.325,0.297,0.297,0.215,0.293,0.377,0.323,0.133,0.327,0.192
7MQ8_L0L2,7MQ8_L2,0.509,0.58,0.544,0.58,0.58,0.512,0.403,0.392,0.599,0.081,0.606,0.578
7PKT_23,7PKT_2,0.333,0.267,0.32,0.276,0.276,0.64,0.276,0.235,0.357,0,0.294,0.258
7PKT_23,7PKT_3,0.361,0.423,0.296,0.468,0.468,0.48,0.442,0.5,0.776,0.49,0.779,0.559
7PKT_36,7PKT_3,0.361,0.535,0.3,0.535,0.535,0.495,0.36,0.43,0.775,0.452,0.779,0.478
7PKT_36,7PKT_6,0.5,0.207,0.421,0.207,0.207,0.326,0.372,0.264,0.514,0.294,0.449,0.417
7PKT_34,7PKT_3,0.361,0.515,0.3,0.515,0.515,0.511,0.49,0.362,0.768,0.5,0.779,0.602
7PKT_34,7PKT_4,0.571,0.593,0.645,0.593,0.593,0.593,0.593,0.656,0.727,0.453,0.636,0.593
7PKT_45,7PKT_4,0.571,0.582,0.678,0.64,0.64,0.64,0.64,0.645,0.719,0.36,0.636,0.593
7PKT_45,7PKT_5,0.219,0.29,0.323,0.294,0.294,0.455,0.529,0.452,0.526,0.3,0.528,0.551
7SUK_L0L2,7SUK_L0,0.584,0.682,0.587,0.695,0.695,0.646,0.619,0.639,0.719,0,0.726,0.625
7SUK_L0L2,7SUK_L2,0.373,0.222,0.361,0.222,0.222,0.289,0.329,0.225,0.298,0,0.368,0.229
7W59_GF,7W59_G,0,0,0,0,0,0,0,0,0,0,0,0
7W59_GF,7W59_F,0.323,0.452,0.364,0.467,0.467,0.538,0.412,0.318,0.452,0.467,0.294,0.467
7W59_GH,7W59_G,0,0,0,0,0,0,0,0,0,0,0,0
7W59_GH,7W59_H,0.765,0.658,0.776,0.676,0.676,0.706,0.667,0.667,0.712,0,0.769,0.623
7W59_FH,7W59_F,0.323,0.538,0.417,0.538,0.538,0.538,0.538,0.579,0.538,0.667,0.294,0.378
7W59_FH,7W59_H,0.765,0.433,0.776,0.433,0.433,0.393,0.727,0.676,0.694,0,0.769,0.727
7W5A_FG,7W5A_F,0.312,0.452,0.364,0.467,0.467,0.538,0.412,0.318,0.452,0.467,0.294,0.467
7W5A_FG,7W5A_G,0,0,0,0,0,0,0,0,0,0,0,0
7WAH_RD,7WAH_R,0,0,0,0,0,0,0,0,0,0,0,0
7Y83_BC,7Y83_B,0,0,0,0,0,0,0,0,0.333,0,0,0
8A22_A2A3,8A22_A2,0,0.348,0,0.444,0.444,0,0,0.129,0.16,0,0,0
8A22_A2A3,8A22_A3,0.277,0.505,0.289,0.505,0.505,0.455,0.38,0.157,0.678,0.154,0.607,0.6
8A22_A4A5,8A22_A4,0.611,0.667,0.686,0.727,0.727,0.6,0.727,0.706,0.703,0.552,0.684,0.6
8A22_A4A5,8A22_A5,0.308,0.048,0.25,0.071,0.071,0,0.208,0.085,0.377,0.35,0.444,0
8A22_B1B2,8A22_B1,0,0.187,0,0,0,0,0.194,0.069,0.231,0,0,0.25
8A22_B1B2,8A22_B2,0.277,0.4,0.366,0.467,0.467,0.235,0.403,0.361,0.574,0.13,0.489,0.358
5GIO_GH,5GIO_G,0,0,0,0,0,0,0,0,0,0,0,0
5GIO_GH,5GIO_H,0,0,0,0,0,0,0,0,0,0,0,0
5GMK_LM,5GMK_L,0.491,0.361,0.481,0.423,0.423,0.377,0.431,0.407,0.444,0,0.52,0.373
5GMK_LM,5GMK_M,0,0,0,0,0,0,0,0,0,0,0,0
5LJ3_IZ,5LJ3_I,0,0,0,0,0,0,0,0,0,0,0,0
5LJ3_IZ,5LJ3_Z,0.831,0.713,0.813,0.727,0.727,0.72,0.735,0.771,0.82,0,0.809,0.692
5LQW_29,5LQW_2,0.519,0.533,0.571,0.417,0.417,0.4,0.533,0.552,0.533,0,0.593,0.485
5LQW_29,5LQW_9,0,0,0,0,0,0,0,0,0,0,0,0
5MQF_26,5MQF_2,0.486,0.667,0.493,0.676,0.676,0.542,0.427,0.456,0.649,0,0.43,0.432
5MQF_26,5MQF_6,0.313,0.571,0.444,0.667,0.667,0.424,0.545,0.6,0.606,0.69,0.258,0.429
5NRL_26,5NRL_2,0.8,0.667,0.814,0.71,0.71,0.71,0.673,0.714,0.735,0,0.814,0.722
5NRL_26,5NRL_6,0.545,0.381,0.538,0.485,0.485,0.437,0.432,0.552,0.5,0.312,0.486,0.4
5NRL_2I,5NRL_2,0.8,0.631,0.814,0.722,0.722,0.722,0.729,0.654,0.791,0,0.814,0.714
5NRL_46,5NRL_4,0.8,0.4,0.7,0.4,0.4,0.87,0.87,0.375,0.898,0,0.873,0.875
5NRL_46,5NRL_6,0.545,0.372,0.692,0.421,0.421,0.538,0.533,0.429,0.621,0.345,0.486,0.552
5WSG_EL,5WSG_E,0.488,0.615,0.541,0.615,0.615,0.627,0.604,0.561,0.564,0,0.732,0.744
5WSG_EL,5WSG_L,0,0,0,0,0,0,0,0,0,0,0,0
5WSG_LM,5WSG_L,0,0,0,0,0,0,0,0,0,0,0,0
5Y88_DE,5Y88_D,0.513,0.64,0.513,0.64,0.64,0.653,0.408,0.593,0.714,0.133,0.7,0.627
5Y88_EF,5Y88_F,0,0,0.071,0,0,0,0,0,0,0,0,0.071
5ZWM_FH,5ZWM_F,0.625,0.514,0.625,0.514,0.514,0.581,0.581,0.556,0.571,0,0.476,0.529
5ZWM_FH,5ZWM_H,0.643,0.812,0.723,0.812,0.812,0.812,0.812,0.686,0.783,0.11,0.827,0.773
5ZWM_FI,5ZWM_F,0.625,0.474,0.667,0.529,0.529,0.474,0.529,0.514,0.571,0,0.476,0.5
5ZWM_FI,5ZWM_I,0.756,0.894,0.7,0.894,0.894,0.87,0.87,0.875,0.898,0.432,0.842,0.875
5ZWM_GH,5ZWM_H,0.643,0.725,0.733,0.8,0.8,0.8,0.8,0.774,0.812,0.11,0.827,0.773
6AH0_FH,6AH0_F,0.556,1,0.923,1,1,1,1,1,0.933,0,0,0.609
6AH0_FH,6AH0_H,0.791,0.727,0.791,0.727,0.727,0.744,0.727,0.586,0.694,0.294,0.773,0.681
6AH0_FI,6AH0_F,0.556,0.7,0.833,0.7,0.7,0.737,0.7,1,0.778,0,0,0.7
6AH0_FI,6AH0_I,0.696,0.862,0.735,0.862,0.862,0.877,0.676,0.754,0.73,0.316,0.696,0.71
6AHD_GH,6AHD_G,0,0,0,0,0,0,0,0,0,0,0,0
6AHD_GH,6AHD_H,0.791,0.681,0.791,0.681,0.681,0.681,0.627,0.516,0.756,0.167,0.773,0.533
6EXN_26,6EXN_2,0.853,0.747,0.866,0.63,0.63,0.793,0.667,0.845,0.822,0,0.708,0.73
6EXN_26,6EXN_6,0.476,0.444,0.541,0.444,0.444,0.588,0.444,0.593,0.513,0,0.698,0.727
6EXN_2I,6EXN_2,0.853,0.651,0.841,0.605,0.605,0.8,0.757,0.759,0.8,0,0.708,0.554
6EXN_2I,6EXN_I,0,0,0,0,0,0,0,0,0,0,0,0
6FF4_2Z,6FF4_2,0.1,0.105,0.118,0,0,0,0.105,0.1,0.19,0,0.1,0.105
6J6G_BL,6J6G_L,0.699,0.636,0.673,0.651,0.651,0.639,0.651,0.683,0.766,0.176,0.768,0.705
6J6N_BL,6J6N_L,0.698,0.661,0.698,0.661,0.661,0.65,0.701,0.455,0.719,0.092,0.721,0.683
6O1O_MN,6O1O_M,0,0,0,0,0,0,0,0,0,0,0,0
6QDV_26,6QDV_2,0.706,0.688,0.783,0.688,0.688,0.727,0.696,0.431,0.844,0,0.522,0.757
6QDV_26,6QDV_6,0.323,0.645,0.48,0.645,0.645,0.483,0.75,0.571,0.625,0.714,0.303,0.69
6QDV_2I,6QDV_2,0.706,0.361,0.766,0.431,0.431,0.213,0.571,0.529,0.72,0,0.522,0.528
6QDV_2I,6QDV_I,0,0,0,0,0,0,0,0,0,0,0,0
6QX9_62,6QX9_2,0.773,0.552,0.756,0.217,0.217,0.217,0.78,0.667,0.643,0.345,0.773,0.756
6QX9_64,6QX9_4,0.643,0.455,0.642,0.462,0.462,0.517,0.526,0.62,0.548,0.391,0.586,0.508
6ZYM_2Y,6ZYM_Y,0,0,0,0,0,0,0,0,0,0,0,0
7ABI_62,7ABI_6,0.333,0.558,0.385,0.75,0.75,0.667,0.483,0.452,0.385,0.857,0.267,0.5
7ABI_62,7ABI_2,0.747,0.707,0.725,0.716,0.716,0.543,0.707,0.602,0.81,0,0.747,0.744
7B9V_26,7B9V_2,0.755,0.864,0.771,0.936,0.936,0.909,0.911,0.682,0.87,0,0.829,0.855
7B9V_26,7B9V_6,0.513,0.627,0.571,0.78,0.78,0.842,0.744,0.615,0.541,0.364,0.7,0.667
7DCO_FH,7DCO_F,0.513,0.588,0.571,0.732,0.732,0.789,0.6,0.526,0.541,0.294,0.769,0.625
7DCO_FH,7DCO_H,0.644,0.558,0.643,0.644,0.644,0.624,0.563,0.558,0.612,0.189,0.644,0.598
7DVQ_GH,7DVQ_G,0,0,0,0,0,0,0,0,0,0,0,0
7DVQ_GH,7DVQ_H,0.522,0.6,0.632,0.857,0.857,0.857,0.857,0.706,0.667,0.333,0.636,0.857
7OQB_I2,7OQB_2,0.769,0.773,0.795,0.773,0.773,0.764,0.747,0.791,0.783,0.131,0.796,0.764
